Timestamp,OriginalPath,NewPath
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\OneDrive_Cleaner_Log.csv","C:\Users\27646\OneDrive\Master_Cloud\99_Archive\OneDrive_Cleaner_Log.csv"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\OneDrive_Cleaner_Log.pdf","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\OneDrive_Cleaner_Log.pdf"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\!_howto.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\!_howto.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\!_introduction.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\!_introduction.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#01 Circuits + Coils.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#01 Circuits + Coils.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#02 Smelters.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#02 Smelters.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#03 Storage.txt","C:\Users\27646\OneDrive\Master_Cloud\01_Studies\#03 Storage.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#04 Gears.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#04 Gears.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#05 Belt+Sorter+Assembler.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#05 Belt+Sorter+Assembler.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#06 Miner + Smelter + Tesla.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#06 Miner + Smelter + Tesla.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#07 Storage + Wind + Splitter.txt","C:\Users\27646\OneDrive\Master_Cloud\01_Studies\#07 Storage + Wind + Splitter.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#08 Power + Engine + Pump.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#08 Power + Engine + Pump.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#09 Monitor + Lab + Tank.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#09 Monitor + Lab + Tank.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#10 Steel Smelting.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#10 Steel Smelting.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\#11 Logistics Drone Upgrade.txt","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\#11 Logistics Drone Upgrade.txt"
"2025-12-10T19:46:50","C:\Users\27646\OneDrive\Master_Cloud\01_Documents\'n Historieae en Argeologiese Perspektief op Siekte en Genesing in N.T.doc","C:\Users\27646\OneDrive\Master_Cloud\07_Documents\'n Historieae en Argeologiese Perspektief op Siekte en Genesing in N.T.doc"
